Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
knn,0.8852459016393442,0.8,1.0,0.8888888888888888,0.9231601731601731
random_forest,0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.9512987012987013
logistic_regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9512987012987013
svm,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9437229437229437
decision_tree,0.7213114754098361,0.6571428571428571,0.8214285714285714,0.7301587301587301,0.7288961038961038
